name,trend_days,momentum_days,vol_days,target_vol,top_n,sleeve_cap,cagr,vol,sharpe,max_dd,calmar,cvar1,worst_day,worst_month,end_multiple,current_allocation
"trend=250,mom=252,vol=63,target=0.10,top=3,cap=0.33",250,252,63,0.1,3,0.33,0.10098614098806835,0.07774742824411716,1.2790961678866686,-0.13567183728329268,0.7443412207737847,-0.019898514614484757,-0.03707790562974047,-0.049842624639252486,2.7171865102539514,"{""DBC"": 0.13585498152262812, ""GLD"": 0.1219871961527055, ""SHY"": 0.5106423628064082, ""SPY"": 0.23151545951825817}"
"trend=150,mom=126,vol=63,target=0.08,top=2,cap=0.67",150,126,63,0.08,2,0.67,0.09407020977159353,0.08231712259262787,1.1358338265869474,-0.12641438668376503,0.7441416458944434,-0.02217780242435356,-0.03498087624388089,-0.07279011672207536,2.5449846438494874,"{""DBC"": 0.16302597782715375, ""SHY"": 0.5591554707509364, ""SPY"": 0.2778185514219098}"
"trend=150,mom=252,vol=21,target=0.06,top=3,cap=0.33",150,252,21,0.06,3,0.33,0.08072962005653483,0.05773294137406408,1.3766072186845,-0.10849234571306621,0.7441042916524591,-0.015482503685926923,-0.026324191071931378,-0.04794243182896596,2.240397312699795,"{""DBC"": 0.0882648165814311, ""SHY"": 0.46147399302696945, ""SPY"": 0.20168612557634616, ""USMV"": 0.2485750648152533}"
"trend=100,mom=252,vol=126,target=0.08,top=3,cap=0.67",100,252,126,0.08,3,0.67,0.08746125383399872,0.07037585772286976,1.229266285299008,-0.11762361089275974,0.7435688563730563,-0.01920558760744577,-0.03275744749727392,-0.04791317517620608,2.389706325347054,"{""DBC"": 0.12152381513612386, ""SHY"": 0.36049386171408915, ""SPY"": 0.20805725825839516, ""USMV"": 0.3099250648913919}"
"trend=150,mom=189,vol=126,target=0.10,top=3,cap=1.00",150,189,126,0.1,3,1.0,0.11042292428223721,0.09140490730030815,1.1942844803778643,-0.14853384313341744,0.7434192905320043,-0.025754978611004946,-0.045687897651467524,-0.07474087057640455,2.969143668402399,"{""DBC"": 0.1519047689201548, ""SHY"": 0.20061732714261138, ""SPY"": 0.2600715728229939, ""USMV"": 0.3874063311142399}"
"trend=200,mom=189,vol=21,target=0.10,top=2,cap=0.50",200,189,21,0.1,2,0.5,0.12026562155202924,0.09065738250170632,1.3009459922119866,-0.1618353882959639,0.7431354960021969,-0.023580599815682654,-0.04001864393887489,-0.06005674627976221,3.2542609071988227,"{""DBC"": 0.22066204145357773, ""GLD"": 0.2524522265648214, ""SHY"": 0.5268857319816008}"
"trend=100,mom=63,vol=63,target=0.10,top=3,cap=0.50",100,63,63,0.1,3,0.5,0.09894659085954283,0.08672263422349175,1.1339000688548928,-0.13318793418149044,0.7429095696064468,-0.024620679666864615,-0.04172649267192258,-0.0695129608180175,2.6653400144031023,"{""DBC"": 0.13585498152262812, ""SHY"": 0.2743102075465421, ""SPY"": 0.23151545951825817, ""USMV"": 0.3583193514125716}"
"trend=150,mom=252,vol=21,target=0.12,top=2,cap=0.50",150,252,21,0.12,2,0.5,0.12488279811202752,0.09929405346246771,1.2376675661810534,-0.16812885092792684,0.7427802986981814,-0.027697268249002035,-0.05002209460518678,-0.08382166618573716,3.396346090106304,"{""DBC"": 0.2647944497442933, ""SHY"": 0.23520555025570666, ""SPY"": 0.5}"
"trend=150,mom=252,vol=63,target=0.06,top=1,cap=0.50",150,252,63,0.06,1,0.5,0.07108057727282158,0.06510007029852459,1.0897029612755553,-0.09569689504440981,0.7427678530200524,-0.01764241456505549,-0.03208418249107238,-0.044058874027891326,2.0410627772179577,"{""DBC"": 0.24453896674073058, ""SHY"": 0.7554610332592694}"
"trend=250,mom=126,vol=63,target=0.12,top=2,cap=0.50",250,126,63,0.12,2,0.5,0.10904798473101796,0.10181015983924878,1.0699293381308435,-0.14686621814260736,0.7424987591437274,-0.02662397703727693,-0.046643232909853075,-0.06796482580640328,2.9311663241816883,"{""DBC"": 0.24453896674073058, ""SHY"": 0.3387332061264047, ""SPY"": 0.4167278271328647}"
"trend=200,mom=189,vol=63,target=0.06,top=1,cap=0.50",200,189,63,0.06,1,0.5,0.07640797520653297,0.06695619027347004,1.1355954454468993,-0.10293626392806043,0.742284325181382,-0.0176804106754693,-0.03208418249107238,-0.03802296454419096,2.149040787669873,"{""DBC"": 0.24453896674073058, ""SHY"": 0.7554610332592694}"
"trend=150,mom=126,vol=126,target=0.08,top=1,cap=0.50",150,126,126,0.08,1,0.5,0.07670290495680088,0.07898580672938364,0.9772417718305519,-0.10336863972578747,0.7420326431718123,-0.019277142589864182,-0.03666893318506015,-0.05113254936511158,2.155166641720037,"{""DBC"": 0.36457144540837155, ""SHY"": 0.6354285545916285}"
"trend=250,mom=126,vol=63,target=0.12,top=3,cap=0.50",250,126,63,0.12,3,0.5,0.1199535300562935,0.10217405996425181,1.1625377087949549,-0.16166212094537002,0.7420014617823122,-0.028351242769488152,-0.046643232909853075,-0.07243183681594367,3.2448535665476004,"{""DBC"": 0.16302597782715372, ""GLD"": 0.1463846353832466, ""SHY"": 0.4127708353676899, ""SPY"": 0.2778185514219098}"
"trend=250,mom=126,vol=21,target=0.12,top=2,cap=0.67",250,126,21,0.12,2,0.67,0.12449429664265033,0.11748216638818522,1.0599203373729007,-0.1677824720374289,0.7419982262204251,-0.03087308594589846,-0.05205530682443211,-0.08082965761769945,3.3841782143090824,"{""DBC"": 0.2647944497442933, ""SHY"": 0.13014717352666816, ""SPY"": 0.6050583767290385}"
"trend=250,mom=252,vol=21,target=0.12,top=2,cap=0.33",250,252,21,0.12,2,0.33,0.08739162681939505,0.07425645614156036,1.167950262647182,-0.11782441448326808,0.7417106819724981,-0.018972332766699875,-0.029090181633562643,-0.05377406881754698,2.3881170486311225,"{""DBC"": 0.2647944497442933, ""GLD"": 0.3029426718777857, ""SHY"": 0.432262878377921}"
"trend=250,mom=189,vol=21,target=0.08,top=1,cap=1.00",250,189,21,0.08,1,1.0,0.11843444222862898,0.10008188679615851,1.1711045695191244,-0.15971057186553972,0.7415566849784928,-0.026998017295865026,-0.047086367142064565,-0.07825460469584355,3.199413861928856,"{""DBC"": 0.3530592663257244, ""SHY"": 0.6469407336742756}"
"trend=200,mom=126,vol=21,target=0.12,top=3,cap=1.00",200,126,21,0.12,3,1.0,0.13971171674626315,0.11956599372952592,1.1562750525880476,-0.18842666847131206,0.7414646656958447,-0.03280896461934236,-0.05205530682443211,-0.10535462238956672,3.8914221719699715,"{""DBC"": 0.1765296331628622, ""GLD"": 0.20196178125185713, ""SHY"": 0.21813633443258829, ""SPY"": 0.4033722511526923}"
"trend=200,mom=126,vol=63,target=0.06,top=3,cap=0.67",200,126,63,0.06,3,0.67,0.0718284785832708,0.05833286500537796,1.2209340786707898,-0.09690857714557422,0.7411983613728166,-0.016039492683668284,-0.025819000583081276,-0.044011786880381654,2.0559195442616094,"{""DBC"": 0.08151298891357686, ""GLD"": 0.0731923176916233, ""SHY"": 0.7063854176838449, ""SPY"": 0.1389092757109549}"
"trend=200,mom=126,vol=63,target=0.06,top=3,cap=1.00",200,126,63,0.06,3,1.0,0.0718284785832708,0.05833286500537796,1.2209340786707898,-0.09690857714557422,0.7411983613728166,-0.016039492683668284,-0.025819000583081276,-0.044011786880381654,2.0559195442616094,"{""DBC"": 0.08151298891357686, ""GLD"": 0.0731923176916233, ""SHY"": 0.7063854176838449, ""SPY"": 0.1389092757109549}"
"trend=200,mom=126,vol=21,target=0.08,top=3,cap=0.50",200,126,21,0.08,3,0.5,0.09486823249531806,0.0796425794391285,1.1804478794081668,-0.12803003510679833,0.7409841949678619,-0.021657060779061085,-0.034901229656098286,-0.0700846075681757,2.5643383689084316,"{""DBC"": 0.11768642210857479, ""GLD"": 0.13464118750123807, ""SHY"": 0.4787575562883922, ""SPY"": 0.2689148341017949}"
"trend=200,mom=63,vol=126,target=0.10,top=3,cap=0.67",200,63,126,0.1,3,0.67,0.09599712695611462,0.08745729677909966,1.0942616536480463,-0.1295589802052446,0.7409530918199418,-0.023607021052174056,-0.04502147172841911,-0.05710368088868123,2.5919436236187923,"{""DBC"": 0.1519047689201548, ""SHY"": 0.20061732714261138, ""SPY"": 0.2600715728229939, ""USMV"": 0.3874063311142399}"
"trend=250,mom=126,vol=21,target=0.06,top=2,cap=1.00",250,126,21,0.06,2,1.0,0.07781365529117723,0.0668923459028683,1.1561781146124508,-0.10502393147867173,0.7409135631813558,-0.017800084956839116,-0.03109403808849229,-0.06641774047185323,2.178379438828211,"{""DBC"": 0.13239722487214664, ""SHY"": 0.5650735867633341, ""SPY"": 0.30252918836451925}"
"trend=200,mom=126,vol=63,target=0.08,top=3,cap=0.33",200,126,63,0.08,3,0.33,0.08193350369013297,0.06864195696213564,1.1841621008457262,-0.11058913408518056,0.7408820438635881,-0.01886434233385623,-0.03119612004358706,-0.047527360580823075,2.26646404497234,"{""DBC"": 0.1086839852181025, ""GLD"": 0.09758975692216439, ""SHY"": 0.6085138902451266, ""SPY"": 0.18521236761460655}"
"trend=100,mom=189,vol=63,target=0.08,top=1,cap=1.00",100,189,63,0.08,1,1.0,0.10920914217706645,0.0948682698561403,1.1425515880360342,-0.147439031859394,0.7407071302612345,-0.026162095028642546,-0.042581218214952955,-0.07938509711203001,2.9355948417636135,"{""DBC"": 0.3260519556543075, ""SHY"": 0.6739480443456924}"
"trend=100,mom=252,vol=126,target=0.10,top=3,cap=0.67",100,252,126,0.1,3,0.67,0.10449713296799334,0.08442482179969282,1.2222043344368099,-0.14107760201388708,0.740706756255377,-0.02312336659746455,-0.04139593101016342,-0.05710368088868123,2.808576931028848,"{""DBC"": 0.1519047689201548, ""SHY"": 0.20061732714261138, ""SPY"": 0.2600715728229939, ""USMV"": 0.3874063311142399}"
